text,label,anger,disgust,fear,joy,neutral,sadness,surprise,text_label,nuscore,depression_model_label,depression_score
oh my gosh,1,0.003897731,0.005251821,0.006823179,0.004054192,0.004869537,0.022219721,0.95288384,POSITIVE,0.9942747950553894,POSITIVE,0.9942747950553894
"trouble sleeping, confused mind, restless heart. All out of tune",1,0.002901153,0.000317623,0.983279943,0.0007785,0.002607221,0.008383468,0.001732149,NEGATIVE,0.9951162338256836,NEGATIVE,0.9951162338256836
"All wrong, back off dear, forward doubt. Stay in a restless and restless place",1,0.005230483,0.002090147,0.961427331,0.002191538,0.019832285,0.007064597,0.002163567,NEGATIVE,0.9975394010543823,NEGATIVE,0.9975394010543823
I've shifted my focus to something else but I'm still worried,1,0.006327004,0.001380355,0.948931217,0.003029968,0.012869697,0.021859666,0.005602032,NEGATIVE,0.9969336986541748,NEGATIVE,0.9969336986541748
"I'm restless and restless, it's been a month now, boy. What do you mean?",1,0.00458741,0.004203291,0.958983362,0.000934381,0.019048529,0.004171728,0.008071291,NEGATIVE,0.995006799697876,NEGATIVE,0.995006799697876
"every break, you must be nervous, like something is wrong, but what the heck",1,0.002402859,0.001279658,0.98133415,0.001405715,0.007571727,0.001896948,0.004109024,NEGATIVE,0.9919642210006714,NEGATIVE,0.9919642210006714
"I feel scared, anxious, what can I do? And may my family or us be protected :)",1,0.000930226,0.000362758,0.994596064,0.000825462,0.00095379,0.001261543,0.001070271,NEGATIVE,0.9986546039581299,NEGATIVE,0.9986546039581299
Have you ever felt nervous but didn't know why?,1,0.00103524,0.000989686,0.987873197,0.000903562,0.003660911,0.001809858,0.003727501,NEGATIVE,0.9930866360664368,NEGATIVE,0.9930866360664368
"I haven't slept well for 2 days, it's like I'm restless. why huh :([].",1,0.005324051,0.00516793,0.898187399,0.001493872,0.054944642,0.022938602,0.011943331,NEGATIVE,0.998112678527832,NEGATIVE,0.998112678527832
"I'm really worried, I want to cry.",1,0.005122639,0.001490733,0.931339562,0.003719651,0.010995949,0.035546683,0.011784738,NEGATIVE,0.9984515905380249,NEGATIVE,0.9984515905380249
"always restless every night, even though I don't know why, what's wrong. strange.",1,0.001709389,0.002378063,0.975818038,0.000805681,0.008347684,0.003100799,0.007840271,NEGATIVE,0.9993141889572144,NEGATIVE,0.9993141889572144
"I'm confused, I'm not feeling good lately. Every time I want to sleep, I always feel restless",1,0.001689137,0.002267502,0.967949212,0.000889745,0.008197363,0.016371531,0.002635513,NEGATIVE,0.9994792342185974,NEGATIVE,0.9994792342185974
"sometimes what is needed when there is a problem is to laugh until you forget that there is a problem, when you remember it, you feel restless like that well, it turns out that I still have a sad burden blah blah blah",1,0.001489879,0.001089752,0.987140894,0.0007786,0.003782281,0.002597757,0.003120962,NEGATIVE,0.9836192727088928,NEGATIVE,0.9836192727088928
Because this worry is you.,1,0.005144452,0.002016147,0.954696417,0.002821654,0.022618188,0.00683174,0.005871424,NEGATIVE,0.9972551465034485,NEGATIVE,0.9972551465034485
Sometimes it's your own thoughts that make you anxious and afraid to close your eyes until you don't sleep,1,0.00234041,0.001476383,0.969346702,0.001199084,0.018668838,0.003751939,0.003216642,NEGATIVE,0.5377094745635986,NEGATIVE,0.5377094745635986
"Every time I wake up, I'm definitely nervous and excited, until when are you going to try ™‚",1,0.00223403,0.001753852,0.968792975,0.00235138,0.01863881,0.002252184,0.003976914,POSITIVE,0.9985369443893433,POSITIVE,0.9985369443893433
"I can only hope, even though I'm worried if it starts like this....",1,0.016373063,0.006118247,0.796795845,0.007917401,0.124131843,0.032707058,0.015956469,POSITIVE,0.9771081209182739,POSITIVE,0.9771081209182739
"restive = restless, restless",1,0.023546895,0.00927714,0.880065918,0.002319203,0.053638306,0.019887431,0.011265187,NEGATIVE,0.9989668130874634,NEGATIVE,0.9989668130874634
"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",1,0.157618135,0.10666623,0.001472525,0.233446226,0.377100587,0.120164789,0.003531507,POSITIVE,0.9954130053520203,POSITIVE,0.9954130053520203
"If the guy is sick, the girl actually feels sick indirectly. He must be feeling restless and restless. :')",1,0.002580044,0.0039855,0.973004103,0.00099943,0.011272168,0.005683843,0.002475063,NEGATIVE,0.9990832805633545,NEGATIVE,0.9990832805633545
"I've been the most anxious person before I became the most sincere person, I've also been the most worried person before it all ended",1,0.002094563,0.000838128,0.97586149,0.002550226,0.010712556,0.003057502,0.004885491,NEGATIVE,0.9910181760787964,NEGATIVE,0.9910181760787964
Successfully online at 9am. Even sleeping in a state of restlessness what is wrong with me,1,0.040677447,0.007668609,0.608796954,0.003435831,0.139870584,0.15680778,0.042742729,POSITIVE,0.6366513967514038,POSITIVE,0.6366513967514038
Can't sleep. Just restless by nature,1,0.006024953,0.00766525,0.776873469,0.002058775,0.159128562,0.032615211,0.015633797,NEGATIVE,0.9832437634468079,NEGATIVE,0.9832437634468079
Already worried about picking up the phone,1,0.004303558,0.00090061,0.974915624,0.001195862,0.005378042,0.009218276,0.004088004,NEGATIVE,0.9988728165626526,NEGATIVE,0.9988728165626526
a little restless. a little restless. always feel guilty. sorry if i can't be the best as i've been :',1,0.01286662,0.000748018,0.91057843,0.00508083,0.003464042,0.063341126,0.003921007,NEGATIVE,0.9990825653076172,NEGATIVE,0.9990825653076172
I've been so restless since this morning,1,0.002107061,0.001180755,0.983865559,0.000738818,0.005176277,0.003882747,0.003048837,NEGATIVE,0.9948359727859497,NEGATIVE,0.9948359727859497
it makes you feel restless,1,0.002640907,0.0004447,0.992168963,0.000763572,0.000805785,0.001526517,0.001649574,NEGATIVE,0.9970483183860779,NEGATIVE,0.9970483183860779
Sleepy but restless when you sleep,1,0.006910204,0.01804374,0.643357754,0.003485265,0.189197451,0.130494207,0.008511391,NEGATIVE,0.989977240562439,NEGATIVE,0.989977240562439
Why is this cave... I'm already in a bad mood and then my heart seems to be beating really fast... I'm really nervous. Is there something wrong???,1,0.003875684,0.001665754,0.957855999,0.001522496,0.009584997,0.003362867,0.02213222,NEGATIVE,0.9982490539550781,NEGATIVE,0.9982490539550781
"He is very busy, He is restless, geez, what's going on?",1,0.018318594,0.018765166,0.685346782,0.002898367,0.241139397,0.015297728,0.018234076,NEGATIVE,0.9984331727027893,NEGATIVE,0.9984331727027893
"I'm broken and fragile, I'm hurt, I can't stand the anxiety anymore, I can't stand the love. Until now I was ignored, not seen, even left far away. I'm not like what he wants, so I'll just step back.",1,0.01180234,0.006525434,0.170416966,0.002646763,0.007746625,0.799327672,0.001534197,NEGATIVE,0.9941800832748413,NEGATIVE,0.9941800832748413
"# Suggest a song that makes you calm, don't know why suddenly this feeling of anger / restlessness appears. Thanks!",1,0.986338198,0.001123214,0.001873764,0.001154364,0.005735816,0.002520416,0.001254156,POSITIVE,0.997071385383606,POSITIVE,0.997071385383606
Terooosss nervous huuuu,1,0.002272853,0.002087332,0.968583345,0.0017847,0.013504379,0.00894359,0.002823779,NEGATIVE,0.9773637056350708,NEGATIVE,0.9773637056350708
why today's heart doesn't feel good..jealous?.anxious?.disappointed?.feeling failed?,1,0.005391398,0.000423884,0.001180699,0.002841347,0.002420311,0.98056972,0.007172721,NEGATIVE,0.9996991157531738,NEGATIVE,0.9996991157531738
It's a habit from elementary school if I think about something I'll get worried I can't sleep,1,0.020735804,0.008999224,0.923103809,0.0023026,0.025301874,0.011660659,0.007895943,NEGATIVE,0.9875373244285583,NEGATIVE,0.9875373244285583
"Since yesterday yesterday, I have not been in the mood, very sensitive, feeling restless, always surprised and many surprises every day that almost make my brain explode, everyone is the target of ups and downs in mood. But today I feel very grateful that this lecture drama is over.",1,0.006622507,0.001242704,0.87931931,0.001906473,0.004549423,0.002760227,0.103599384,POSITIVE,0.9793288707733154,POSITIVE,0.9793288707733154
"Tonight he continues to chatter about money, I'm so confused what to do. Once he said don't worry about money, but he kept blabbering about money.",1,0.033445727,0.038601443,0.504277647,0.003041334,0.293055475,0.02888526,0.09869314,NEGATIVE,0.9970388412475586,NEGATIVE,0.9970388412475586
Feeling so restless lately.,1,0.001489265,0.001161441,0.989513636,0.00058532,0.002249997,0.003223807,0.001776574,NEGATIVE,0.9976758360862732,NEGATIVE,0.9976758360862732
Oh god I'm restless,1,0.002494178,0.001977322,0.977834702,0.000624605,0.008145774,0.005369017,0.003554418,NEGATIVE,0.9986870884895325,NEGATIVE,0.9986870884895325
but my heart is still restless even though my mouth is talking,1,0.002357646,0.000398119,0.990892172,0.000562538,0.001191612,0.002446123,0.002151684,NEGATIVE,0.9664842486381531,NEGATIVE,0.9664842486381531
"waiting for uncertainty, please be anxious",1,0.00189862,0.000583117,0.980344176,0.002191978,0.009249184,0.003973981,0.001758999,NEGATIVE,0.9826253652572632,NEGATIVE,0.9826253652572632
"been the most anxious person, before becoming the most sincere person",1,0.0014831,0.000738897,0.970306337,0.010573084,0.010081813,0.003457304,0.003359529,POSITIVE,0.6049147844314575,POSITIVE,0.6049147844314575
"Did you ever read it when you read it to RL, I mean the atmosphere, the taste. It's because I'm like this. when I read au, the topic was about mental illness ™ my days became restless....and now I'm scared.",1,0.003253109,0.001746164,0.971704245,0.000825287,0.01173177,0.002853268,0.007886157,POSITIVE,0.7913313508033752,POSITIVE,0.7913313508033752
"Hi, I want to tell you... Lately I've been feeling restless, have trouble sleeping, I searched on google it says it's a mild symptom of depression, I used to tell my mom a psychologist friend ""don't think too much, it's not important you get depressed easily"" then I frequent irregular breathing.",1,0.001586999,0.000794791,0.98882395,0.000638394,0.002752822,0.003576474,0.001826522,NEGATIVE,0.9827015995979309,NEGATIVE,0.9827015995979309
